No,Name_of_Company,Address,Phone,Industry
7364.,HANGER BINGANTO,"Desa Sumberejo Kulon, Tulungagung, Jawa Timur",0355 396084,Hanger Dari Kawat
7365.,HANGGORO,"Raya Babat-jombang.jl, Bojonegoro, Jawa Timur",0322 456204,Beras
7366.,HANI KUSWA,"Jl.lebak - Loji Jatiwangi, Majalengka, Jawa Barat",,Genteng
7367.,HANI THAN KOPRA,"Jl . Trans Sulawesi Desa Tabulo, Boalemo, Gorontalo",0443-210758,Kopra
7368.,"HANIL GLOBAL TEXTILE,PT","Jl. Raya Rancaekek-majalaya No.389, Bandung, Jawa Barat",022-5955625,Kain Setengah Jadi
7369.,"HANIL INDONESIA, PT","Nepen Po. Box 142 Boyolali, Boyolali, Jawa Tengah",0276-321478,Benang Tenun
7370.,"HANIL JAYA METAL WORKS, PT","Brigjen Katamso Jl, Sidoarjo, Jawa Timur",8533500,Billet Dan Baja Tulangan
7371.,HANIMO,"Jl Raya Muchtar Rt.01/07 No.33 Sawangan (tugu Batu), Depok, Jawa Barat",0219236873,Mainan
7372.,"HANIN PERKASA, PT","Desa Cikopo Rt.10/04, Purwakarta, Jawa Barat",0264-316595,Jasa Bordir
7373.,"HANJAYA MANDALA SAMPURNA, PT","Industri Barat 2, Jl, Malang, Jawa Timur","491124,493692",Rokok Kretek (dji Sam Soe)
7374.,"HANJAYA, PD","Jl Ciledug No.36, Garut, Jawa Barat",0262-233396,Mebel
7375.,"HANJIN INDONESIA JAYA, PT","Jl Modern Industri Iii No.4, Serang, Banten",0254-402323-6,Komponen Sepatu
7376.,"HANKOOK CASTING IND, PT","Biie Blok C 9 No.15 Lippo Cikarang, Bekasi, Jawa Barat",89901464,Komponen Electronik
7377.,"HANKUK COLOR INDUSTRI, PT","Jl.gatot Subroto Km. 6,2 Jatake Jatiuwung Tangerang, Tangerang, Banten",021-5914441,Zat Pewarna U/ Plastik
7378.,"HANMI HAIR INTERNATIONAL, PT","Jl. Gerilya No.99  Rt. 01/05, Purbalingga, Jawa Tengah",0281-896707,Wig
7379.,HANMOULINDO KREASI PT,"Jl.raya Serang Km.11, Tangerang, Banten",021-5960483,"Mould,cutting Knite"
7380.,"HANNA COLLECTION, PT","Jl Industri I  No 1, Kota Cimahi, Jawa Barat",022-6076239,Barang Jadi Dari Tektil
7381.,HANNA TUKIANA,"Jl Suryani No 7, Bandung, Jawa Barat",0226015117,Pakaian Jadi
7382.,"HANOI SARI RASA, PL","Desa Sembung Gede Kerambitan, Tabanan, Bali",0361-810178,Minuman Ringan
7383.,"HANS CARPET, PT","Cirejag Cibalong Sari, Karawang, Jawa Barat",021-8617360,Karpet
7384.,"HANS PLATINDO, PT","Jl. Mercedes Benz No. 70, Bogor, Jawa Barat",021-8673567,Suku Cadang Kendaraan
7385.,"HANSA PRATAMA, PT","Ds Bakung Temenggungan 336447 336388 Fax 335718, Sidoarjo, Jawa Timur",,Besi Cor / Baja
7386.,"HANSAE ACE APPAREL ,PT","Jl. Kaligawe Raya Km.6/kaw Terboyo Blok A -1, Semarang, Jawa Tengah",024 6580020,Garmen
7387.,"HANSE GARDEN INDONESIA, CV MEBEL","Ds. Pekalongan Rt.06/04, Jepara, Jawa Tengah",0291-594047,Furniture
7388.,"HANSNESIA DYEING, PT","Kbn  Jl. Irian Jaya Blok E 25, Jakarta Utara, DKI Jakarta",021-4404141,Pencelupan Dan Pewarnaan Texti
7389.,"HANSOLL   HYUN, PT","Jl Raya Purwadadi Kp.ciela, Subang, Jawa Barat",0260-461666,Pakaian Jadi
7390.,"HANSUNG ELEKTRONIK IND, PT","Dusun Kelapa Nunggal Desa Gintung Kerta, Karawang, Jawa Barat",0267-433687-9,Electronic
7391.,"HANSUNG FIBER, PT","Kp. Citeureup Rt. 008/002, Tangerang, Banten",021-5900383,Polyester Staplefiber
7392.,"HANSUNG GARMINO MULIA, PT","Jl.andini Sakti No.10, Bekasi, Jawa Barat",02188334455,Pakaian Jadi
7393.,HANTEX/HANDI,"Jl Pasirangin Rt 1/9 Ds Talun, Bandung, Jawa Barat",5950415,Sarung
7394.,"HANTONG PRECISION MANUFACTURING, PT","Komplek Citra Buana Centre Park Ii Lot 05-06, B A T A M, Kepulauan Riau",0778-428222,Metal Stamping/komp Elektronik
7395.,HANUM COLLECTION,"Jl. Kenari I Rt 08 Rw 02, Tegal, Jawa Tengah",0283-444052,Pakaian Jadi
7396.,HANY PUTRA,"Bandung Kidul, Dsn, Pacitan, Jawa Timur","081913077679 ,510308",Krupuk
7397.,"HAPETE, FA","Margomulyo Indah No. 18 A, Jl, Surabaya, Jawa Timur",7491826,Pemintalan Benang
7398.,HAPPY,"Jl. Petemon Iv/169, Surabaya, Jawa Timur",5318454,Sepatu
7399.,HAPPY BAKERY,"Kairagi I Depan Llajr         Telp.63050-63060, Manado, Sulawesi Utara",63050-63060,Roti
7400.,HARAPAN,"Jl. Gambir Pasar Viii, Deli Serdang, Sumatera Utara",061-7380869,Kompor
7401.,HARAPAN,"Jl Rancajigang No 28, Bandung, Jawa Barat",5950085,Jasa Celup Benang
7402.,HARAPAN ART FURNITURE,"Jl. Raya Ngabul Km 09, Jepara, Jawa Tengah",0291-593841,Furniture Antiq
7403.,HARAPAN BARU,"Sei Nangka, Asahan, Sumatera Utara",,Minyak Goreng
7404.,"HARAPAN BARU, UD","Noto Prajan Ng 11/ 829 Yk, Yogyakarta, D.I. Yogyakarta",0274 384025,"Tas, Kaos, Jaket"
7405.,HARAPAN BUSANA APPAREL,"Kbn Cakung;jln.sumatera D-22a, Jakarta Utara, DKI Jakarta",02144833350,Garmen
7406.,"HARAPAN CITRA JAYA, PT","Jl Kerapu, Komplek Mcp Blok A1 No. 1, B A T A M, Kepulauan Riau",0778-395339,Perakitan Komponen Sepeda
7407.,"HARAPAN DAYA UTAMA, PT","Jl Raya Naragong Km 23, Bogor, Jawa Barat",021-8230629,Barang Elektronik
7408.,HARAPAN INDAH,"Jl Pb Sudirman 356, Lumajang, Jawa Timur",883888,Etalasi Alumunium
7409.,HARAPAN INDAH GARMENT/BONG PIE TJIN,"Jl Kali Anyar 8 Rt. 0010/06 No. 2, Jakarta Barat, DKI Jakarta",021-6301350,Pakaian Anak Anak
7410.,HARAPAN JAYA,"Jl Duri Utara Iii/18, Jakarta Barat, DKI Jakarta",021-6301818,Kaos Wanita
7411.,HARAPAN JAYA,"Jl. Ambulu, Jember, Jawa Timur",621394,Beras
7412.,"HARAPAN JAYA ,CV","Jl.raya Jakarta Bogor Km 46   Tlp 8752606 Ds Pakansari, Bogor, Jawa Barat",8752606,Konveksi/pakaian Abri
7413.,HARAPAN JAYA ABADI TEKNIK INDONESIA,"Tenaga Baru Iii/15, Jl, Malang, Jawa Timur",472032,Suku Cadang Mesin Dari Baja
7414.,"HARAPAN JAYA PAVING, UD","Raya Sinar Harapan 12, Jl, Sidoarjo, Jawa Timur",031-8971984,Paving
7415.,"HARAPAN JAYA UTAMA,CV","Jl.raya Sapan Km2 No.55, Bandung, Jawa Barat",0227533552,Sepatu Dari Canvas
7416.,"HARAPAN JAYA, CV","Kramat Vi No. 30, Jakarta Pusat, DKI Jakarta",021-3109235,Pakaian Tentara
7417.,"HARAPAN JAYA, UD","Duduk Sampeyan, Ds, Gresik, Jawa Timur",3903040,Ikan Asin
7418.,"HARAPAN JAYA, UD","Desa Beraim, Lombok Tengah, Nusa Tenggara Barat",081 75701837,Penggilingan Beras
7419.,HARAPAN KARYA INDAH,"Kp. Rawa Bamban Jurumudi No.12 Batu Ceper Tangerang, Tangerang, Banten",021-5408087,Furniture
7420.,"HARAPAN MAJU [ H M ] ,PB","Blok Tipar Ds Wirakanan, Indramayu, Jawa Barat",0234-506420,Beras
7421.,"HARAPAN MAJU, CV","Kp Masigit Rt 03/01 Kotasari, Cilegon, Banten",0254-570669,Lap Majun
7422.,HARAPAN MAKMUR,"Slateng Krajan Rt 01 Rw 09, Jember, Jawa Timur",566422,Beras
7423.,"HARAPAN MAKMUR, UD","Bulurejo. Dsn, Kediri, Jawa Timur",0354444172,Kerupuk Mentah
7424.,HARAPAN SEJAHTERA KARYA UTAMA.PT,"Kutilang 25 Larangan, Sidoarjo, Jawa Timur",8921031,Kantong Plastik
7425.,HARAPAN SEJATI,"Cangkring Malang, Pasuruan, Jawa Timur",656801,Karung Plastik
7426.,"HARAPAN SUBUR/BINA PRIMA INTI TAMA,PT","Jl.babakan Hanja 182 A, Bandung, Jawa Barat",022-5951770,Kain Polyester
7427.,"HARAPAN SURYA LESTARI, PT","Kp. Parung Tanjung Rt. 003 Rw. 0011, Bogor, Jawa Barat",021-5853277,Minuman Ringan
7428.,HARAPAN TANI JONI LEO,"Jln Besar Dusun I, Serdang Bedagai, Sumatera Utara",,Beras
7429.,"HARAPAN TIMBER, CV","Desa Sambaraasi, Konawe, Sulawesi Tenggara",,"Balok, Papan"
7430.,"HARAPAN UTAMA PRIBUMI, CV","Jl. Wiringtasi, Kendari, Sulawesi Tenggara",0401-3007272,Ikan Beku
7431.,"HARAPAN UTAMA, CV","Jl. Ir Sutami, Makassar, Sulawesi Selatan",0411-512320,Pengolahan Kayu
7432.,"HARAPAN WIDYATAMA PERTIWI,PT","Jl Pangkalan V,ds Cikiwul, Bekasi, Jawa Barat",8250329,Pipa Pvc
7433.,"HARAPAN,UD","Jl Setia Budi Timur 28, Kota Madiun, Jawa Timur",0351 456650,Daging Ayam Potong
7434.,HARASCO,"Desa Karang Agung/jl. Bambang Utoyo No.61 Rt.11 Rw.04 Plg, Musi Banyuasin, Sumatera Selatan",,Kayu Gergajian
7435.,"HARBINGER BRIDGE INTERNATIONAL, PT","Kel. Keramasan Rt.26, Palembang, Sumatera Selatan",(0711) 361426,Moulding
7436.,"HARBISON-WALKER REFACTORIES,PT","Jl. Australia Ii Kav N1 Kiec, Cilegon, Banten",0254-398750/1,Semen Tahan Api
7437.,HARDAYA INTI PLANTATIONS,"Kec. Bokat, Buol, Sulawesi Tengah",,Minyak Kelapa
7438.,HARDI,"Dusun Bagiq Gaet, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7439.,HARDI (BATIK),"H. Ilyas No. 20 Genteng Hijau, Jakarta Selatan, DKI Jakarta",021-5251304,Baju Daster
7440.,HARDI KONVEKSI,"Pademangan Iii Gg.21no.17, Jakarta Utara, DKI Jakarta",021-64713375,Celana Strit Wanita
7441.,HARDI PATI AREN,"Srijayan, Klaten, Jawa Tengah",,Pati Aren
7442.,HARDIONO SABLON,"Pademangan Iv  No.60, Jakarta Utara, DKI Jakarta",021-6402195,Kaos Sablon
7443.,HARDJONO DUPA,"Dsn.juwet Rt.02/02, Malang, Jawa Timur",,Industri Dupa
7444.,"HARDO SOLOPLAST, PT","Jl. Raya Palur  Km 8, Karanganyar, Jawa Tengah",0271-825470,Karung Plastik
7445.,"HARENDONG GREEN FARM, PT","Jl. Raya Cikotok Kp Pasir Hanalo Desa Hegarmanati, Lebak, Banten",021-3861610,Teh
7446.,HARFINDO INDAH SEMESTA PRINTING,"Teluk Gong Raya No.11e, Jakarta Utara, DKI Jakarta",021-6619702,Label Makanan Dan Coper Album
7447.,"HARFIT INTERNATONAL, PT","Jl Rawa Terate 11/4 Kop Industrial P Gadung, Jakarta Timur, DKI Jakarta",021-4602929,Meubel Dan Kayu Olahan
7448.,"HARGAS INDUSTRIES INDONESIA, PT","Kbn Marunda Blok Ii A Kav.5-6, Jakarta Utara, DKI Jakarta",021-4405401,Wood Working
7449.,HARI ESOK GEMILANG,"Jl. Mayjen Sungkono 50, Gresik, Jawa Timur",3984389,Kondektor Listrik
7450.,"HARI HIKMAH INDAH, PT","Jl. Raya Jakartabogor Km 47,4, Bogor, Jawa Barat",0218754001,Stripping Motor Dan Mobil
7451.,"HARI JAYA MULIA, UD","Tropodo I/71 Jl, Sidoarjo, Jawa Timur",8665288,Pakaian Jadi
7452.,HARI MEBEL,"A Yani 140,jl, Malang, Jawa Timur",0341-491988,Mebel Kayu
7453.,"HARI SAWIT JAYA II, PT","Jl. Desa Sidomulyo, Labuhan Batu, Sumatera Utara",,Cpo
7454.,"HARI SAWIT JAYA, PT","Sidomulyo Negeri Lama/jl.mt. Haryono No.1a Medan, Labuhan Batu, Sumatera Utara","0624-551288,061-4532","Cpo, Kernel"
7455.,"HARI SAWIT JAYA, PT/ASIANAGRO AGUNGJAYA","Jl.besar Teluk Nibung Desa Kapias, Tanjung Balai, Sumatera Utara",0623-92952,Minyak Sawit
7456.,HARI SUBOWO,"Kendedes.jl, Malang, Jawa Timur",0341 458711,Avalan/limbah  Kertas
7457.,HARI SUTARDJO,"Jl Buyut No.74  Kel Pegambiran, Cirebon, Jawa Barat",,Sohun
7458.,"HARI TERANG, PT","Rungkut Industri Ii/12  Jl, Surabaya, Jawa Timur",8438276,Batu Bateray Kering
7459.,"HARI, H (COLD STORAGE)","Stoplas, Dsn, Banyuwangi, Jawa Timur",(0333)593237,Ikan Laut Beku
7460.,"HARIA UTAMA PERKASA, CV","Tlogoretno, Ds, Lamongan, Jawa Timur",329012,Tepung Dolomit
7461.,"HARIAN ""BERITA PAGI""","Jl. Talang Keranggo No. 33, Palembang, Sumatera Selatan",0711-7096622,Surat Kabar
7462.,HARIAN DENPOST,"Jl Kebo Iwa No 63a, Denpasar, Bali",0361416669,Harian Surat Kabar
7463.,HARIAN SURABAYA PAGI,"Gunung Sari 11d, Jl, Surabaya, Jawa Timur",5619697,Percetakan
7464.,HARIANTO,"Dsn Kemlandingan, Pasuruan, Jawa Timur",085646245511,Kasur Dari Kapuk
7465.,"HARIARA, CV","Jl. Medan Km. 7,5 Ds Tambun Nabolon, Pematang Siantar, Sumatera Utara",0622-24448,Beras
7466.,"HARINA CHEMICALS INDUSTRY, PT","Kp Jarakosta Rt.07/04, Bekasi, Jawa Barat",0218900765,"Nsektisida, Fungisida Pupuk"
7467.,"HARINDO TAMA MANDIRI, PT","Jl. Kapuk Kamal No. 88, Jakarta Barat, DKI Jakarta",021-5550888,Kaos Dewasa
7468.,HARIONO,"Dsn.jatikeplek Rt.02/06, Blitar, Jawa Timur",,Tembakau Rajangan Kering
7469.,HARIS MUNAI,"Mojotengah, Ds, Pasuruan, Jawa Timur",,Kapuk Halus
7470.,HARIS PGM,"Dsn Tajinan Rt 03/02, Kediri, Jawa Timur",,Gula Merah
7471.,HARIYANTO,"Batang-batang Laok, Ds, Sumenep, Jawa Timur",,Dandang Alumunium
7472.,"HARJASARI, PT","Ds Cibokor, Cianjur, Jawa Barat",,Teh Hijau
7473.,"HARJOHN TIMBER,PT","Ds Kuala Jl Adisucipto Km 5.3 Sei Raya, Kubu Raya, Kalimantan Barat",05617069809,Plywood
7474.,"HARJOHN TIMBER,PT","Ds Kuala Jl Adisucipto Km 5.3 Sei Raya, Kubu Raya, Kalimantan Barat",05617069809,Plywood
7475.,HARKAT ANUGRAH MANDIRI/ VOLA PLASTIK,"Jl Raya Pasar Kemis Km 6 No.80 Kmp.cilongok, Tangerang, Banten",021-5900310,Alat Rumahtangga Dari Plastik
7476.,"HARKAT SEJAHTERA, PT","Dusun Pengkolan, Simalungun, Sumatera Utara",,Cpo
7477.,HARLEX TOOTH BROSH INDUSTRY,"Jl. Pembanunan Ii No. 80, Tangerang, Banten",021-55765316,Sikat Gigi
7478.,"HARLI DUNIA INDAH, PT/DUNIA MAKMUR","Jl.randukurung Utara No 26, Bandung, Jawa Barat",022-5951540,Kain Gordyn
7479.,HARMAEN,"Dusun Sukamulia, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
7480.,HARMONI BORDIR,"Bandengan Utara Kubur Koja No. 11, Jakarta Utara, DKI Jakarta",021-32700311,Bordir
7481.,"HARMONI INDAH, PT","Pembayun, Bogor, Jawa Barat",021-8754133,Garment Kaos
7482.,"HARMONI LINTAS JEJAK, CV","Jl. Raya Curug Km.3 No. 26, Tangerang, Banten",021 5985292,Aksesoris Sepatu
7483.,"HARMONI NIRWANA LESTARI,PT","Takokak, Cianjur, Jawa Barat",0266-480321,Teh Kering
7484.,"HARMONI SATYA SUKSES, PT","Jl. M.toha Km 4 No 8 Periuk Jaya Tangerang, Tangerang, Banten",021 5520623,Bak Mobil Logam/besi
7485.,"HARMONI UTAMA TEKSTIL, PT","Jl Industri I No. 1, Kota Cimahi, Jawa Barat",022-6002257,Vitras/kain Kerudung
7486.,"HARMONIC PLASINDO JAYA, PT","Jl. Raya Serang Km 13,8, Tangerang, Banten",021-896027,Plastik
7487.,"HARMONICS TECHINDO AGUNG, PT","Desa Gintung Kerta, Karawang, Jawa Barat",0267-431788,Wire Harnes
7488.,HARMONIKA / KARSONO KUNINGAN,"Ds Mintomulyo, Pati, Jawa Tengah",,Komponen Mebel
7489.,HARMONIS,"Kp Langen Sari Rt 04 /03 De Langen Sari, Bandung, Jawa Barat",0225941771,Peci Dari Beludru
7490.,"HARMONIS SURABAYA, CV","Raya Bareng Sidorejo 117, Jl, Sidoarjo, Jawa Timur",8971541,Sarung Tangan
7491.,"HARNITA PLASTIK, CV","Jl. Margomulyo Indah C. 9, Surabaya, Jawa Timur",,Kemasan Dr Plastik
7492.,"HARPA INTI MANDIRI, PT","Kanggotan Rt05 Rw05, Pleret, Bantul, D.I. Yogyakarta",0274-7474497,Handycraft
7493.,HARRY PALMER KONFEKSI,"Gelora Ix A No. 2, Jakarta Pusat, DKI Jakarta",,Pakaian
7494.,HARSAM TEKSTIL,"Jl. A. Pawellangi No 178, Wajo, Sulawesi Selatan",,Kain Sutera
7495.,HARSEN LABORATORIES,"Jl. Raya Bogor Km 24,6, Jakarta Timur, DKI Jakarta",021-8404433,Farmasi
7496.,HARSONO SUDIRO,"Sumber Wetan, Klaten, Jawa Tengah",0272-897568,Selimut
7497.,"HARTA BUSANA INDUSTRIES, CV","Jl. Sersan Abdul Kadir No. 3, Kudus, Jawa Tengah",0291-435334,Baju Batik Sutera
7498.,"HARTA MULIA, PT","Modangan, Ds, Blitar, Jawa Timur",0342- 561176,Kopi Ose
7499.,"HARTA RAHARJA, PT","Kebo Iwa 165, Jl., Denpasar, Bali",(0361)431710,Es Batu
7500.,"HARTA SAMUDRA, PT","Jl. Piere Tendean No. 06, Ambon, Maluku",0911-354899,Ikan Tuna Beku
7501.,HARTANTI,"Kenjeran 354, Surabaya, Jawa Timur",3813167,Bunga Kain
7502.,HARTATIK/CHERRY,"Muharto 60, Jl, Malang, Jawa Timur",361131,Saos Tomat
7503.,HARTINDO CHEMIKATAMA,"Agung Utara I Blok A2 No.42, Jakarta Utara, DKI Jakarta",021-6519488,Alat Pemadam Api
7504.,HARTO,"Tluwe, Tuban, Jawa Timur",,Tembakau Rajang
7505.,HARTO,"Klampis Ngasem 62, Jl, Surabaya, Jawa Timur",5940277,Krupuk
7506.,HARTO BRASS ABADI,"Ds Gadingrejo, Pati, Jawa Tengah",,Handel Pintu
7507.,"HARTONO & SONS, FA","Bromo No.6, Jl, Kota Madiun, Jawa Timur",462025,Barang Cetakan
7508.,HARTONO BERSAUDARA/ NAPOLEON,"Mayjen Sungkono 58-60 Jl, Tulungagung, Jawa Timur",321588,Senapan Angin
7509.,HARTONO ISTANA TEKNOLOGI (POLYTRON),"Jl. Kh Asnawi Po Box 28, Kudus, Jawa Tengah",0291-432981,Tv Radio Casette Hifi Stereo
7510.,"HARTONO ISTANA TEKNOLOGI,  PT","Jl. Raya Smg Demak Km. 9, Demak, Jawa Tengah",024-6592220,Barang Elextro/politron
7511.,"HARTONO WIRA TANIK, PT","Berbek Industri Ii/18, Sidoarjo, Jawa Timur",8431941,"Kalung, Gelang Dari Emas"
7512.,HARTOP (HARTONO KONFEKSI),"Muncang No.23 Rt.005/16, Jakarta Utara, DKI Jakarta",021-9142964,Kemeja
7513.,HARUM MANIS,"Jl. Tgh. Saleh Hambali, Mataram, Nusa Tenggara Barat",0370 631531,Es Balok
7514.,"HARUM MANIS, PT","Arjuna 124/i, Jl, Surabaya, Jawa Timur",5313766,Teh Bungkusan
7515.,"HARUM MANIS, UD","Jl. Kf. Tandean, Tebing Tinggi, Sumatera Utara",0621-23510,Roti Kacang
7516.,"HARUM SARI KENCANA, PT","Dagen Rt 03/xi Jaten, Karanganyar, Jawa Tengah",0271-825316,Tembakau Rajang
7517.,"HARUM SARI MAKMUR,CV","Kp.tungturunan Rt.11/03, Cianjur, Jawa Barat",322236,Beras
7518.,"HARUM SARI PRIMA FOOD INDUSTRIES, PT","Kaw. Industri Prima Food Kav.i No.2, Tangerang, Banten",021-5950723,Bihun
7519.,HARUM SARI RASA,"Cikukulu Ii Rt.05,rw.05, Sukabumi, Jawa Barat",0266 7043911,"Brownes Kring,astor,bolu,kue S"
7520.,"HARUM SARI, PT","Jl.wangsa Karya/kp.gebang Tangerang, Tangerang, Banten",021-5524495,Bihun
7521.,"HARVARD COCOPRO, PT","Desa Hessa Perlompongan, Asahan, Sumatera Utara",0623-523118,Kelapa Parut Kering
7522.,HARVINDO PERKASA,"Semanan Raya, Jakarta Barat, DKI Jakarta",021 54501219,Percetakan
7523.,HARYANTO PATI AREN,"Dk Bendo, Klaten, Jawa Tengah",,Pati Aren
7524.,HARYO BROSS SLEP KUNINGAN PARLAN,"Dk Daruji, Pati, Jawa Tengah",,Stimer
7525.,HARYONO ROTAN,"Desa Karangsari Blok Tegalan Kidul, Cirebon, Jawa Barat",0231322986,Kursi Dari Rotan
7526.,HASAN BISRI,"Raya Kepadangan Rt 01/01, Sidoarjo, Jawa Timur",031-8851576,Krupuk
7527.,HASAN BUSANA MAS,"Tanah Pasir Bloka/25, Jakarta Utara, DKI Jakarta",021-6601957,Kemeja
7528.,HASANUDIN KONVEKSI,"Desa Karangjati No. 17 Rt 1/1, Pekalongan, Jawa Tengah",,Pakaian Jadi
7529.,HASASI INTERNASIONAL,"Jl Raya Rancaekek Km 26, Sumedang, Jawa Barat",6864688,Benang
7530.,HASBULLAH,"Jln. My. Sutoyo, Binjai, Sumatera Utara",081370157140,Keranjanag
7531.,HASBY SABLON,"Mlarak, Jl, Ponorogo, Jawa Timur",0352 311890,Barang Sablon
7532.,"HASDIA PRIMA GUNA, PT","Rungkut Raya 9                Surabaya, Surabaya, Jawa Timur",838857,Pakaian Jadi (jacket)
7533.,"HASIL ABADI PERDANA, PT","Rungkut Industri Ii/8 Jl, Surabaya, Jawa Timur",8437711,Minyak Goreng
7534.,"HASIL ABADI SENTOSO, CV","Raya Sumengko, Jl, Gresik, Jawa Timur",8976168,Karton Box
7535.,"HASIL ALAM INDO INDAH,PT","Ahmad Yani No.73, Pasuruan, Jawa Timur",0343 421345,Kayu Balok
7536.,"HASIL BUANA, PT","Patimura 144, Jl, Kediri, Jawa Timur",0354 682461,Tepung Gaplek
7537.,HASIL BUMI,"Watu Ulo Gg.pasarehan, Jl, Jember, Jawa Timur",0336-883449,Genteng
7538.,HASIL BUMI RAYA PURWODADI,"Nongkojajar, Jl, Pasuruan, Jawa Timur",426016,Kacang Ose
7539.,"HASIL BUMI SEMESTA,PT","Jl.raya Cimareme No.213, Bandung Barat, Jawa Barat",022-6867888,Jasa Mesin
7540.,"HASIL KARYA BUMI SEJATI, PT","Kasang Bangsawan, Pujud, Rokan Hilir, Riau",,Cpo
7541.,"HASIL KARYA TEXTILE, PT","Jl Bale Kambang No 01 Desa Sukamaju, Bandung, Jawa Barat",5950100,Kain Asahi
7542.,"HASIL KARYA, CV","Wadeng Raya, Jl, Gresik, Jawa Timur",3949475,Pupuk Fosfat
7543.,"HASIL KARYA,CV","Ds.parengan, Mojokerto, Jawa Timur",363984-85 363986,Paku Besi
7544.,"HASIL KENCANA PLASTIKINDO, PT","Sby - Krian Km 26 Jl, Sidoarjo, Jawa Timur",8971420,Pvc/bahan Plastik
7545.,HASIL LANCAR,"Dk. Ngrawan Sari Guyangan Rt.04/01, Jepara, Jawa Tengah",0291-3390809,Jasa Pengobatan Kayu
7546.,HASIL LANCAR/KARIYADI,"Ds Kr Gondang Rt.03/02, Jepara, Jawa Tengah",,Meubel
7547.,"HASIL LAUT INDO/ LAUT JAYA ABADI, PT","Gondang   Km.9, Kendal, Jawa Tengah",(0294) 382666,Teri Kering
7548.,"HASIL LAUT, UD","Sampangan Rt02/rw1, Dsn, Banyuwangi, Jawa Timur","(0333)591373,593584",Ikan Pindang Olahan
7549.,"HASIL LAUT, UD","Candi Jaya, Jl, Sidoarjo, Jawa Timur",70962984,Krupuk
7550.,HASIL PADI PUTRA HJ KASMI,"Jl. Demak Jepara Km 7 Genting, Demak, Jawa Tengah",0291-4284432,Beras
7551.,HASIL PADI. UD,"Mranak Rt.01/rw 01, Demak, Jawa Tengah",0291-686339,Beras
7552.,"HASIL RAYA INDUSTRIES, PT","Jl. Pesing Poglar No. 77, Jakarta Barat, DKI Jakarta",021 -5455417,Botol Plastik
7553.,"HASIL RIMBA UTAMA, UD","Jl. Tpa Besuk - Tempeh, Lumajang, Jawa Timur",0334881882,Peti Kemas
7554.,HASIL TANI,"Singa, Jl. Lk. Ii Sei Renggas, Asahan, Sumatera Utara","0623-43792,42053",Tepung Jagung
7555.,HASIL TANI,"Slegreng,dsn - Pataan,ds, Lamongan, Jawa Timur",,Kapur Gamping
7556.,"HASIL TANI, PB","Jl. Raya Pasirian Tempeh, Lumajang, Jawa Timur",0334881332,Beras
7557.,"HASIL TANI, UD","Jl Pelabuhan Kabut Kp Krajan Rt 08, Situbondo, Jawa Timur",671768,Penggilingan Gabah & Jagung
7558.,"HASILINDO UTAMA, PT","Jembatan Tiga Barat Blok D/6b, Jakarta Utara, DKI Jakarta",021-6692359,"Rel, Nako, Gordyn"
7559.,"HASKARADJAYA, PT","Jl Seruni 82 Tlp 21553, Sidoarjo, Jawa Timur",,Jerigen Plastik
7560.,HASNATEX,"Jl. Pramuka Simbang Wetan, Pekalongan, Jawa Tengah",0285-422836,Sarung Plalekat
7561.,"HASPEL INDAH, PT","Jl Sentul Jaya Kp. Tobat Ds Sentul Jaya, Tangerang, Banten",021 5951547,Haspel
7562.,HASRAT BERSAMA CV (TEH PARABOLA),"Jl. Lambung Mangkurat No.74   Rt.o4 Amuntai, Hulu Sungai Utara, Kalimantan Selatan",(0527) 61385,"Teh Cap ""parabola"""
7563.,"HASRAT TATA JAYA, PT","Batu Belah Dusun 1, Kampar, Riau",,Asphalt Hotmix Sirtu
7564.,"HASRAT, PT","Kp Sukarame Solokan Jeruk, Bandung, Jawa Barat",,Handuk
7565.,"HASRAT, UD","Diponegoro 1 .jl Dsn.templek, Kediri, Jawa Timur",0354391035,Kapuk Randu
7566.,"HASRI ANEKATAMA, PT","Jl. Raya Serang Km.18,2, Tangerang, Banten",021 5960578-9,Boop Tape/lakban
7567.,HASSTEX ENGGAL JAYA,"Jl Rancabali Ganda Soja No 1, Bandung, Jawa Barat",022-5951604,Kain Sarung
7568.,HASTA  CO DOVE PRODUCTION,"Dukuh Dalangan, Klaten, Jawa Tengah",0272-323470,Kaos
7569.,HASTA INDAH,"Cembing Trimulyo, Bantul, D.I. Yogyakarta",0274-756105/7165069,Batik Kayu
7570.,HASTA INDAH,"Kludan 4-6 Jl, Sidoarjo, Jawa Timur",8967099,Mukena Bordir
7571.,HASTA KARYA,"Bobung, Putat  06/04, Gunung Kidul, D.I. Yogyakarta",0274-7494018,Topeng Dari Kayu
7572.,HASTA KARYA FUNITURE,"Jl.dewi Sartika No.34-35, Jakarta Timur, DKI Jakarta",021-8093724,Jasa Makloon Meubel Kayu Jati
7573.,"HASTA KARYA MEBEL, CV","Jl. Mangkuyudan 48 Yogya, Yogyakarta, D.I. Yogyakarta",0274-419757,Mebel
7574.,"HASTA KARYA,VC","Jl.cisirung Km,7.7, Bandung, Jawa Barat",,Pakaian Jadi
